Symbol,Date,CP
AAPL,2/01/2018,43.064999
AAPL,3/01/2018,43.057499
AAPL,4/01/2018,43.2575
AAPL,5/01/2018,43.75
AAPL,8/01/2018,43.587502
AAPL,9/01/2018,43.5825
AAPL,10/01/2018,43.572498
AAPL,11/01/2018,43.82
AAPL,12/01/2018,44.272499
AAPL,16/01/2018,44.047501
AAPL,17/01/2018,44.775002
AAPL,18/01/2018,44.814999
AAPL,19/01/2018,44.615002
AAPL,22/01/2018,44.25
AAPL,23/01/2018,44.259998
AAPL,24/01/2018,43.555
AAPL,25/01/2018,42.7775
AAPL,26/01/2018,42.877499
AAPL,29/01/2018,41.990002
AAPL,30/01/2018,41.7425
AAPL,31/01/2018,41.857498
AAPL,1/02/2018,41.945
AAPL,2/02/2018,40.125
AAPL,5/02/2018,39.122501
AAPL,6/02/2018,40.7575
AAPL,7/02/2018,39.884998
AAPL,8/02/2018,38.787498
AAPL,9/02/2018,39.102501
AAPL,12/02/2018,40.677502
AAPL,13/02/2018,41.084999
AAPL,14/02/2018,41.842499
AAPL,15/02/2018,43.247501
AAPL,16/02/2018,43.107498
AAPL,20/02/2018,42.962502
AAPL,21/02/2018,42.767502
AAPL,22/02/2018,43.125
AAPL,23/02/2018,43.875
AAPL,26/02/2018,44.7425
AAPL,27/02/2018,44.5975
AAPL,28/02/2018,44.529999
AAPL,1/03/2018,43.75
AAPL,2/03/2018,44.052502
AAPL,5/03/2018,44.205002
AAPL,6/03/2018,44.1675
AAPL,7/03/2018,43.7575
AAPL,8/03/2018,44.235001
AAPL,9/03/2018,44.994999
AAPL,12/03/2018,45.43
AAPL,13/03/2018,44.9925
AAPL,14/03/2018,44.610001
AAPL,15/03/2018,44.662498
AAPL,16/03/2018,44.505001
AAPL,19/03/2018,43.825001
AAPL,20/03/2018,43.810001
AAPL,21/03/2018,42.817501
AAPL,22/03/2018,42.212502
AAPL,23/03/2018,41.235001
AAPL,26/03/2018,43.192501
AAPL,27/03/2018,42.084999
AAPL,28/03/2018,41.619999
AAPL,29/03/2018,41.945
AAPL,2/04/2018,41.669998
AAPL,3/04/2018,42.0975
AAPL,4/04/2018,42.9025
AAPL,5/04/2018,43.200001
AAPL,6/04/2018,42.095001
AAPL,9/04/2018,42.512501
AAPL,10/04/2018,43.3125
AAPL,11/04/2018,43.110001
AAPL,12/04/2018,43.535
AAPL,13/04/2018,43.682499
AAPL,16/04/2018,43.955002
AAPL,17/04/2018,44.560001
AAPL,18/04/2018,44.459999
AAPL,19/04/2018,43.200001
AAPL,20/04/2018,41.43
AAPL,23/04/2018,41.310001
AAPL,24/04/2018,40.735001
AAPL,25/04/2018,40.912498
AAPL,26/04/2018,41.055
AAPL,27/04/2018,40.580002
AAPL,30/04/2018,41.314999
AAPL,1/05/2018,42.275002
AAPL,2/05/2018,44.142502
AAPL,3/05/2018,44.2225
AAPL,4/05/2018,45.9575
AAPL,7/05/2018,46.290001
AAPL,8/05/2018,46.512501
AAPL,9/05/2018,46.84
AAPL,10/05/2018,47.509998
AAPL,11/05/2018,47.147499
AAPL,14/05/2018,47.037498
AAPL,15/05/2018,46.610001
AAPL,16/05/2018,47.044998
AAPL,17/05/2018,46.747501
AAPL,18/05/2018,46.577499
AAPL,21/05/2018,46.907501
AAPL,22/05/2018,46.790001
AAPL,23/05/2018,47.09
AAPL,24/05/2018,47.037498
AAPL,25/05/2018,47.145
AAPL,29/05/2018,46.974998
AAPL,30/05/2018,46.875
AAPL,31/05/2018,46.717499
AAPL,1/06/2018,47.560001
AAPL,4/06/2018,47.9575
AAPL,5/06/2018,48.327499
AAPL,6/06/2018,48.494999
AAPL,7/06/2018,48.365002
AAPL,8/06/2018,47.924999
AAPL,11/06/2018,47.807499
AAPL,12/06/2018,48.07
AAPL,13/06/2018,47.674999
AAPL,14/06/2018,47.700001
AAPL,15/06/2018,47.209999
AAPL,18/06/2018,47.185001
AAPL,19/06/2018,46.422501
AAPL,20/06/2018,46.625
AAPL,21/06/2018,46.365002
AAPL,22/06/2018,46.23
AAPL,25/06/2018,45.5425
AAPL,26/06/2018,46.107498
AAPL,27/06/2018,46.040001
AAPL,28/06/2018,46.375
AAPL,29/06/2018,46.2775
AAPL,2/07/2018,46.794998
AAPL,3/07/2018,45.98
AAPL,5/07/2018,46.349998
AAPL,6/07/2018,46.9925
AAPL,9/07/2018,47.645
AAPL,10/07/2018,47.587502
AAPL,11/07/2018,46.970001
AAPL,12/07/2018,47.7575
AAPL,13/07/2018,47.8325
AAPL,16/07/2018,47.727501
AAPL,17/07/2018,47.862499
AAPL,18/07/2018,47.599998
AAPL,19/07/2018,47.970001
AAPL,20/07/2018,47.860001
AAPL,23/07/2018,47.9025
AAPL,24/07/2018,48.25
AAPL,25/07/2018,48.705002
AAPL,26/07/2018,48.552502
AAPL,27/07/2018,47.744999
AAPL,30/07/2018,47.477501
AAPL,31/07/2018,47.572498
