Symbol,Date,CP
BABA,2/01/2018,183.649994
BABA,3/01/2018,184
BABA,4/01/2018,185.710007
BABA,5/01/2018,190.699997
BABA,8/01/2018,190.330002
BABA,9/01/2018,190.800003
BABA,10/01/2018,189.789993
BABA,11/01/2018,188.75
BABA,12/01/2018,187.789993
BABA,16/01/2018,182.399994
BABA,17/01/2018,183.830002
BABA,18/01/2018,184.399994
BABA,19/01/2018,184.050003
BABA,22/01/2018,184.020004
BABA,23/01/2018,192.279999
BABA,24/01/2018,195.529999
BABA,25/01/2018,198.330002
BABA,26/01/2018,205.220001
BABA,29/01/2018,203.009995
BABA,30/01/2018,199.660004
BABA,31/01/2018,204.289993
BABA,1/02/2018,192.220001
BABA,2/02/2018,187.309998
BABA,5/02/2018,180.529999
BABA,6/02/2018,185.169998
BABA,7/02/2018,180.300003
BABA,8/02/2018,173.699997
BABA,9/02/2018,176.669998
BABA,12/02/2018,177.440002
BABA,13/02/2018,179.25
BABA,14/02/2018,186.759995
BABA,15/02/2018,187.449997
BABA,16/02/2018,183.679993
BABA,20/02/2018,187.190002
BABA,21/02/2018,188.820007
BABA,22/02/2018,188.75
BABA,23/02/2018,193.289993
BABA,26/02/2018,194.190002
BABA,27/02/2018,188.259995
BABA,28/02/2018,186.139999
BABA,1/03/2018,181.990005
BABA,2/03/2018,179.759995
BABA,5/03/2018,181.600006
BABA,6/03/2018,187.369995
BABA,7/03/2018,189.050003
BABA,8/03/2018,187.179993
BABA,9/03/2018,190.550003
BABA,12/03/2018,192.740005
BABA,13/03/2018,188.410004
BABA,14/03/2018,192.559998
BABA,15/03/2018,199.059998
BABA,16/03/2018,200.279999
BABA,19/03/2018,194.529999
BABA,20/03/2018,198.949997
BABA,21/03/2018,195.300003
BABA,22/03/2018,184.649994
BABA,23/03/2018,181.199997
BABA,26/03/2018,190.5
BABA,27/03/2018,181.889999
BABA,28/03/2018,178.910004
BABA,29/03/2018,183.539993
BABA,2/04/2018,177.610001
BABA,3/04/2018,174.669998
BABA,4/04/2018,172.070007
BABA,5/04/2018,172.570007
BABA,6/04/2018,167.520004
BABA,9/04/2018,169.869995
BABA,10/04/2018,177.100006
BABA,11/04/2018,175.360001
BABA,12/04/2018,175.919998
BABA,13/04/2018,172.039993
BABA,16/04/2018,174.699997
BABA,17/04/2018,178.699997
BABA,18/04/2018,182.679993
BABA,19/04/2018,181.389999
BABA,20/04/2018,179.110001
BABA,23/04/2018,175.570007
BABA,24/04/2018,173.089996
BABA,25/04/2018,170.220001
BABA,26/04/2018,173.899994
BABA,27/04/2018,177.160004
BABA,30/04/2018,178.539993
BABA,1/05/2018,179.5
BABA,2/05/2018,181.449997
BABA,3/05/2018,182.449997
BABA,4/05/2018,188.889999
BABA,7/05/2018,195.350006
BABA,8/05/2018,196.309998
BABA,9/05/2018,195.429993
BABA,10/05/2018,195.960007
BABA,11/05/2018,194.360001
BABA,14/05/2018,198.639999
BABA,15/05/2018,196.610001
BABA,16/05/2018,198.110001
BABA,17/05/2018,196.020004
BABA,18/05/2018,195
BABA,21/05/2018,197.639999
BABA,22/05/2018,195.869995
BABA,23/05/2018,196.800003
BABA,24/05/2018,197.369995
BABA,25/05/2018,199.199997
BABA,29/05/2018,198
BABA,30/05/2018,197.979996
BABA,31/05/2018,198.009995
BABA,1/06/2018,204.339996
BABA,4/06/2018,208.949997
BABA,5/06/2018,208.369995
BABA,6/06/2018,208.300003
BABA,7/06/2018,203.619995
BABA,8/06/2018,205.070007
BABA,11/06/2018,205.699997
BABA,12/06/2018,209.080002
BABA,13/06/2018,206.619995
BABA,14/06/2018,210.860001
BABA,15/06/2018,208
BABA,18/06/2018,208.570007
BABA,19/06/2018,204.429993
BABA,20/06/2018,206.229996
BABA,21/06/2018,202.210007
BABA,22/06/2018,202.009995
BABA,25/06/2018,191.25
BABA,26/06/2018,191.419998
BABA,27/06/2018,185.020004
BABA,28/06/2018,188.380005
BABA,29/06/2018,185.529999
BABA,2/07/2018,186.360001
BABA,3/07/2018,184.75
BABA,5/07/2018,186.880005
BABA,6/07/2018,192.270004
BABA,9/07/2018,192.75
BABA,10/07/2018,192.550003
BABA,11/07/2018,187.419998
BABA,12/07/2018,190.169998
BABA,13/07/2018,190.039993
BABA,16/07/2018,190.350006
BABA,17/07/2018,192.660004
BABA,18/07/2018,190.789993
BABA,19/07/2018,187.339996
BABA,20/07/2018,187.25
BABA,23/07/2018,187.039993
BABA,24/07/2018,189
BABA,25/07/2018,197.979996
BABA,26/07/2018,194.179993
BABA,27/07/2018,189.419998
BABA,30/07/2018,184.820007
BABA,31/07/2018,187.229996
BABA,1/08/2018,185.270004
BABA,2/08/2018,182.600006
BABA,3/08/2018,180.839996
BABA,6/08/2018,178.619995
BABA,7/08/2018,179.919998
BABA,8/08/2018,177.520004
BABA,9/08/2018,177.190002
BABA,10/08/2018,180.009995
BABA,13/08/2018,177.679993
BABA,14/08/2018,172.529999
BABA,15/08/2018,169.830002
BABA,16/08/2018,171.990005
BABA,17/08/2018,172.779999
BABA,20/08/2018,176.289993
BABA,21/08/2018,177.919998
BABA,22/08/2018,177.850006
BABA,23/08/2018,172.229996
BABA,24/08/2018,174.229996
BABA,27/08/2018,180.649994
BABA,28/08/2018,178.190002
BABA,29/08/2018,178.5
BABA,30/08/2018,174.600006
BABA,31/08/2018,175.009995
BABA,4/09/2018,170.440002
BABA,5/09/2018,164.229996
BABA,6/09/2018,159.869995
BABA,7/09/2018,162.369995
BABA,10/09/2018,156.360001
BABA,11/09/2018,157.460007
BABA,12/09/2018,161.460007
BABA,13/09/2018,165.529999
BABA,14/09/2018,164.740005
BABA,17/09/2018,158.889999
BABA,18/09/2018,156.649994
BABA,19/09/2018,162.630005
BABA,20/09/2018,165.880005
BABA,21/09/2018,164.630005
BABA,24/09/2018,163.160004
BABA,25/09/2018,164.25
BABA,26/09/2018,165.399994
BABA,27/09/2018,166.320007
BABA,28/09/2018,164.759995
BABA,1/10/2018,162
BABA,2/10/2018,160.229996
BABA,3/10/2018,162.369995
BABA,4/10/2018,156.130005
BABA,5/10/2018,154.630005
BABA,8/10/2018,151.139999
BABA,9/10/2018,146.940002
BABA,10/10/2018,138.289993
BABA,11/10/2018,141.899994
BABA,12/10/2018,147.289993
BABA,15/10/2018,144.160004
BABA,16/10/2018,149.600006
BABA,17/10/2018,148.139999
BABA,18/10/2018,142.020004
BABA,19/10/2018,142.929993
BABA,22/10/2018,148.800003
BABA,23/10/2018,146.649994
BABA,24/10/2018,139.610001
BABA,25/10/2018,144.600006
BABA,26/10/2018,142.869995
BABA,29/10/2018,133.380005
BABA,30/10/2018,136.330002
