Symbol,Date,CP
FB,2/01/2018,181.419998
FB,3/01/2018,184.669998
FB,4/01/2018,184.330002
FB,5/01/2018,186.850006
FB,8/01/2018,188.279999
FB,9/01/2018,187.869995
FB,10/01/2018,187.839996
FB,11/01/2018,187.770004
FB,12/01/2018,179.369995
FB,16/01/2018,178.389999
FB,17/01/2018,177.600006
FB,18/01/2018,179.800003
FB,19/01/2018,181.289993
FB,22/01/2018,185.369995
FB,23/01/2018,189.350006
FB,24/01/2018,186.550003
FB,25/01/2018,187.479996
FB,26/01/2018,190
FB,29/01/2018,185.979996
FB,30/01/2018,187.119995
FB,31/01/2018,186.889999
FB,1/02/2018,193.089996
FB,2/02/2018,190.279999
FB,5/02/2018,181.259995
FB,6/02/2018,185.309998
FB,7/02/2018,180.179993
FB,8/02/2018,171.580002
FB,9/02/2018,176.110001
FB,12/02/2018,176.410004
FB,13/02/2018,173.149994
FB,14/02/2018,179.520004
FB,15/02/2018,179.960007
FB,16/02/2018,177.360001
FB,20/02/2018,176.009995
FB,21/02/2018,177.910004
FB,22/02/2018,178.990005
FB,23/02/2018,183.289993
FB,26/02/2018,184.929993
FB,27/02/2018,181.460007
FB,28/02/2018,178.320007
FB,1/03/2018,175.940002
FB,2/03/2018,176.619995
FB,5/03/2018,180.399994
FB,6/03/2018,179.779999
FB,7/03/2018,183.710007
FB,8/03/2018,182.339996
FB,9/03/2018,185.229996
FB,12/03/2018,184.759995
FB,13/03/2018,181.880005
FB,14/03/2018,184.190002
FB,15/03/2018,183.860001
FB,16/03/2018,185.089996
FB,19/03/2018,172.559998
FB,20/03/2018,168.149994
FB,21/03/2018,169.389999
FB,22/03/2018,164.889999
FB,23/03/2018,159.389999
FB,26/03/2018,160.059998
FB,27/03/2018,152.220001
FB,28/03/2018,153.029999
FB,29/03/2018,159.789993
FB,2/04/2018,155.389999
FB,3/04/2018,156.110001
FB,4/04/2018,155.100006
FB,5/04/2018,159.339996
FB,6/04/2018,157.199997
FB,9/04/2018,157.929993
FB,10/04/2018,165.039993
FB,11/04/2018,166.320007
FB,12/04/2018,163.869995
FB,13/04/2018,164.520004
FB,16/04/2018,164.830002
FB,17/04/2018,168.660004
FB,18/04/2018,166.360001
FB,19/04/2018,168.100006
FB,20/04/2018,166.279999
FB,23/04/2018,165.839996
FB,24/04/2018,159.690002
FB,25/04/2018,159.690002
FB,26/04/2018,174.160004
FB,27/04/2018,173.589996
FB,30/04/2018,172
FB,1/05/2018,173.860001
FB,2/05/2018,176.070007
FB,3/05/2018,174.020004
FB,4/05/2018,176.610001
FB,7/05/2018,177.970001
FB,8/05/2018,178.919998
FB,9/05/2018,182.660004
FB,10/05/2018,185.529999
FB,11/05/2018,186.990005
FB,14/05/2018,186.639999
FB,15/05/2018,184.320007
FB,16/05/2018,183.199997
